detail_type_code,snomed_code,name_en,specimen_type_code,sub_type_name,is_active
SP-122552005,122552005,"Arterial blood specimen",BLOOD,"Darah / produk darah",true
SP-703430008,703430008,"Arterial cord blood specimen",BLOOD,"Darah / produk darah",true
SP-258582006,258582006,"Blood clot specimen",BLOOD,"Darah / produk darah",true
SP-303248007,303248007,"Blood film specimen",BLOOD,"Darah / produk darah",true
SP-737535000,737535000,"Blood smear specimen",BLOOD,"Darah / produk darah",true
SP-119297000,119297000,"Blood specimen",BLOOD,"Darah / produk darah",true
SP-122560006,122560006,"Blood specimen from blood donor",BLOOD,"Darah / produk darah",true
SP-122558009,122558009,"Blood specimen from blood product",BLOOD,"Darah / produk darah",true
SP-122559001,122559001,"Blood specimen from control",BLOOD,"Darah / produk darah",true
SP-122562003,122562003,"Blood specimen from newborn",BLOOD,"Darah / produk darah",true
SP-122561005,122561005,"Blood specimen from patient",BLOOD,"Darah / produk darah",true
SP-866033003,866033003,"Blood specimen in aerobic blood culture bottle",BLOOD,"Darah / produk darah",true
SP-866032008,866032008,"Blood specimen in anaerobic blood culture bottle",BLOOD,"Darah / produk darah",true
SP-878861003,878861003,"Blood specimen in blood culture bottle",BLOOD,"Darah / produk darah",true
SP-446131002,446131002,"Blood specimen obtained for blood culture",BLOOD,"Darah / produk darah",true
SP-122553000,122553000,"Blood specimen obtained from umbilicus",BLOOD,"Darah / produk darah",true
SP-446272009,446272009,"Blood specimen submitted in heparinized collection tube",BLOOD,"Darah / produk darah",true
SP-441510007,441510007,"Blood specimen with anticoagulant",BLOOD,"Darah / produk darah",true
SP-445295009,445295009,"Blood specimen with EDTA",BLOOD,"Darah / produk darah",true
SP-122554006,122554006,"Capillary blood specimen",BLOOD,"Darah / produk darah",true
SP-258581004,258581004,"Clotted blood specimen",BLOOD,"Darah / produk darah",true
SP-122556008,122556008,"Cord blood specimen",BLOOD,"Darah / produk darah",true
SP-122557004,122557004,"Cord blood specimen from fetus",BLOOD,"Darah / produk darah",true
SP-119294007,119294007,"Dried blood specimen",BLOOD,"Darah / produk darah",true
SP-440500007,440500007,"Dried blood spot specimen",BLOOD,"Darah / produk darah",true
SP-737357006,737357006,"Fetal blood specimen",BLOOD,"Darah / produk darah",true
SP-258588005,258588005,"Hematoma specimen",BLOOD,"Darah / produk darah",true
SP-119345009,119345009,"Menstrual blood specimen",BLOOD,"Darah / produk darah",true
SP-119298005,119298005,"Mixed venous blood specimen",BLOOD,"Darah / produk darah",true
SP-122551003,122551003,"Peripheral blood specimen",BLOOD,"Darah / produk darah",true
SP-119304001,119304001,"Specimen from blood bag",BLOOD,"Darah / produk darah",true
SP-122564002,122564002,"Specimen from blood bag from blood product",BLOOD,"Darah / produk darah",true
SP-122563008,122563008,"Specimen from blood bag from patient",BLOOD,"Darah / produk darah",true
SP-119300005,119300005,"Specimen from blood product",BLOOD,"Darah / produk darah",true
SP-309478005,309478005,"Thrombus specimen",BLOOD,"Darah / produk darah",true
SP-122555007,122555007,"Venous blood specimen",BLOOD,"Darah / produk darah",true
SP-703431007,703431007,"Venous cord blood specimen",BLOOD,"Darah / produk darah",true
SP-258591005,258591005,"White blood cell specimen",BLOOD,"Darah / produk darah",true
SP-258580003,258580003,"Whole blood specimen",BLOOD,"Darah / produk darah",true
SP-57921000052103,57921000052103,"Whole blood specimen with edetic acid",BLOOD,"Darah / produk darah",true
SP-119357000,119357000,"Basophil specimen",BLOOD,"Komponen sel darah",true
SP-258587000,258587000,"Buffy coat",BLOOD,"Komponen sel darah",true
SP-119356009,119356009,"Eosinophil specimen",BLOOD,"Komponen sel darah",true
SP-119351004,119351004,"Erythrocyte specimen",BLOOD,"Komponen sel darah",true
SP-122581006,122581006,"Erythrocyte specimen from blood donor",BLOOD,"Komponen sel darah",true
SP-122582004,122582004,"Erythrocyte specimen from blood product",BLOOD,"Komponen sel darah",true
SP-122583009,122583009,"Erythrocyte specimen from patient",BLOOD,"Komponen sel darah",true
SP-122585002,122585002,"Leukocyte specimen from control",BLOOD,"Komponen sel darah",true
SP-122584003,122584003,"Leukocyte specimen from patient",BLOOD,"Komponen sel darah",true
SP-119353001,119353001,"Lymphocyte specimen",BLOOD,"Komponen sel darah",true
SP-119358005,119358005,"Platelet specimen",BLOOD,"Komponen sel darah",true
SP-119355008,119355008,"Polymorphonuclear neutrophil specimen",BLOOD,"Komponen sel darah",true
SP-256912003,256912003,"Red blood cell fluid specimen",BLOOD,"Komponen sel darah",true
SP-725946000,725946000,"Reticulocyte specimen",BLOOD,"Komponen sel darah",true
SP-442166002,442166002,"a.m. serum specimen",SERUM,"Serum",true
SP-122592007,122592007,"Acellular blood (serum or plasma) specimen",SERUM,"Serum",true
SP-258590006,258590006,"Acidified serum specimen",SERUM,"Serum",true
SP-866034009,866034009,"Acute phase serum specimen",SERUM,"Serum",true
SP-866035005,866035005,"Convalescent phase serum specimen",SERUM,"Serum",true
SP-442427000,442427000,"p.m. serum specimen",SERUM,"Serum",true
SP-788707000,788707000,"Plasma specimen or serum specimen or whole blood specimen",SERUM,"Serum",true
SP-119364003,119364003,"Serum specimen",SERUM,"Serum",true
